Pagado,Fecha de Pago,Metodo de pago,Enviado/Entregado,%,# sin pagarse,Mes,Folio de Factura,Timestamp,Folio de factura / remision,Comentarios,Nombre Tienda,(A1-CC-01) Power Bites sabor Coffee & Chocolate,(A1-MC-01)Power Bites sabor Melted Cacao,(A2-PB-01) Barra: Peanut Butter Bomb,(A2-CF-01) Barra: Chocolate Fudge,(A2-CC-01) Barra: Coffee & chocolate,(A2-CB-01) Barra: Coconut Blueberry,(A2-MC-01) Barra: Manzana y Canela,(4-PACK) MINI SUMMIT BAR SABOR COCONUT BLUEBERRY,(4-PACK) MINI SUMMIT BAR SABOR MANZANA CANELA ,(4-PACK) MINI SUMMIT BAR SABOR PEANUT BUTTER ,Subtotal (antes de impuestos),Monto total de la vanta ,Pz vendidas,Fecha de Creacion de Pedido,Fecha de vencimiento,Tipo de Cliente,Días Crédito,,Días de crédito limpios,Fecha base MDY,,,,,,,
TRUE,05/03/2026,Transferencia,TRUE,,1,1,,1/5/2026 11:59:00,MB1421,,Adamanta Puebla,5,6,60,30,10,40,0,0,0,0.00,"$4,143.86","$4,649.37",151,,02/04/2026,Minorista,30,,30.00,1/5/2026,,,,,,,
TRUE,02/13/2026,Transferencia,TRUE,,2,1,,1/5/2026 12:24:00,MB1422,,Singular Climbing Gym,0,0,10,0,10,10,0,0,0,0.00,$807.45,"$1,046.05",30,,02/04/2026,Minorista,30,,30.00,1/5/2026,Piezas vendidas,"40,365",,mes,Ventas del mes antes de impuestos,Cobrado,Por cobrar
FALSE,,,TRUE,,1,1,,1/5/2026 12:27:00,MB1423,"Se les cobra solo esto por pagos recoridos, ya se regulariza con este",Ecobikes (Huasteca),0,0,10,10,10,10,10,0,0,0.00,"$1,345.75",$290.68,50,,02/04/2026,Minorista,30,,30.00,1/5/2026,,,,1,"$234,405.66",$0.00,"-$234,405.66"
TRUE,08/01/2026,Transferencia,TRUE,,1,1,,1/5/2026 12:29:00,MB1424,Adamanta Gonzalitos,Adamanta Gonzalitos,0,0,30,30,30,30,0,0,0,0.00,"$3,229.80","$3,488.18",120,,02/04/2026,Minorista,30,,30.00,1/5/2026,,,,2,"$191,676.93",$0.00,"-$191,676.93"
TRUE,06/01/2026,Transferencia,TRUE,,0,1,,1/5/2026 12:33:00,MB1425,,San Cosme Restaurante,0,0,30,30,20,30,0,0,0,0.00,"$2,960.65","$3,371.50",110,,02/04/2026,Minorista,30,,30.00,1/5/2026,,,,3,"$251,653.08",$0.00,"-$251,653.08"
TRUE,02/19/2026,Transferencia,TRUE,,0,1,,1/5/2026 13:05:00,MB1426,Enviar 5 Guías de El Salto,Rancho El Sendero,0,0,20,20,10,20,20,0,0,0.00,"$2,422.35","$2,790.14",90,,02/04/2026,Minorista,30,,30.00,1/5/2026,,,,4,"$246,129.29",$0.00,"-$246,129.29"
FALSE,,,TRUE,,3,1,,1/5/2026 13:08:00,MB1427,,Hanuman Café,0,0,20,20,20,20,20,0,0,0.00,"$2,691.50","$2,906.82",100,,04/05/2026,Minorista,90,,90.00,1/5/2026,,,,5,"$131,959.69",$0.00,"-$131,959.69"
TRUE,10/02/2026,Transferencia,TRUE,,5,1,,1/5/2026 13:10:00,MB1428,,VSG (Velo Sport Group),0,0,40,10,30,20,0,0,0,0.00,"$2,691.50","$2,906.82",100,,02/04/2026,Distribuidores,30,,30.00,1/5/2026,,,,6,$0.00,$0.00,$0.00
TRUE,01/15/2026,Transferencia,TRUE,,0,1,,1/6/2026 12:35:00,MB1429,ADAMANTA SIERRA,Adamanta Sierra,0,0,20,0,0,20,0,0,0,0.00,"$1,076.60","$1,162.73",40,,02/05/2026,Minorista,30,,30.00,1/6/2026,,,,7,$0.00,$0.00,$0.00
TRUE,07/01/2026,Transferencia,TRUE,,4,1,,1/6/2026 12:50:00,MB1430,Antonio Longoria order 10383,www.mountainbites.mx,0,0,3,3,3,3,0,0,0,0.00,$454.81,$491.20,12,,01/21/2026,Ecomerce,15,,15.00,1/6/2026,,,,8,$0.00,$0.00,$0.00
